Applicant_ID,Age,Gender,Marital_Status,Education_Level,Employment_Status,Employment_Years,Home_Ownership,Number_of_Dependents,Monthly_Income,Annual_Income,Credit_Limit,Credit_Utilization,Credit_History_Years,Total_Credit_Accounts,Open_Credit_Lines,Credit_Cards,Installment_Accounts,Real_Estate_Loans,Debt_Ratio,Total_Debt,Loan_Amount,Loan_Term_Months,Interest_Rate,Loan_Purpose,Region,Credit_Inquiries_6M,Times_30_59_Days_Past_Due,Times_60_89_Days_Past_Due,Times_90_Plus_Days_Past_Due,Times_120_Plus_Days_Past_Due,Late_Payment_Count,Previous_Bankruptcies,Tax_Liens,Delinquency_History,Has_Employment_Income,SeriousDlqin2yrs
100001,51,Female,Divorced,Bachelor,Employed,11.5,Rent,3.0,5010.0,60120.0,29441.0,0.3771,6.2,7,4,7,5,2,0.854,22718.0,45662.0,72,7.52,Home,South,1,1,1,0,0,2,0,0,0,Yes,0
100002,43,Female,Single,Bachelor,Employed,6.8,Own,1.0,5384.0,64608.0,18973.0,0.1818,4.3,9,5,6,2,1,0.7237,53705.0,36044.0,24,8.55,Auto,West,2,1,0,0,0,1,0,0,0,Yes,1
100003,53,Female,Divorced,Diploma,Employed,1.5,Mortgage,2.0,5735.0,68820.0,27199.0,0.0933,10.0,8,11,3,3,0,0.3409,23424.0,58258.0,60,10.14,Medical,North,1,0,0,0,0,0,0,1,1,Yes,1
100004,63,Male,Married,Bachelor,Employed,7.7,Own,0.0,10178.0,122136.0,72556.0,0.131,3.8,11,8,6,3,4,0.5604,77774.0,44237.0,48,8.2,Auto,East,1,0,0,0,0,0,1,0,0,Yes,0
100005,42,Female,Divorced,High School,Employed,0.7,Own,0.0,3384.0,40608.0,11301.0,0.6224,9.2,7,7,2,3,1,0.7869,37447.0,39187.0,36,5.4,Debt Consolidation,West,3,0,0,1,0,1,0,0,0,Yes,1
100006,42,Male,Married,High School,Employed,11.0,Rent,1.0,3173.0,38076.0,19354.0,0.6545,3.3,7,10,5,3,1,0.8502,17796.0,15711.0,36,14.98,Home,East,1,1,0,0,0,1,0,0,0,Yes,1
100007,64,Female,Married,Master,Unemployed,11.8,Mortgage,1.0,12287.0,147444.0,70698.0,0.4696,15.0,15,4,3,2,1,0.4701,51605.0,116726.0,36,11.21,Medical,North,1,0,0,0,0,0,0,0,0,No,0
100008,54,Female,Single,High School,Retired,5.6,Rent,0.0,4072.0,48864.0,12392.0,0.1651,11.5,10,9,9,4,2,1.358,35422.0,67010.0,60,11.71,Education,Central,0,0,0,1,0,1,0,0,0,Yes,0
100009,39,Female,Single,Doctorate,Employed,7.7,Rent,,2420.0,29040.0,1000.0,0.314,6.6,10,9,7,3,3,0.7593,16176.0,2483.0,36,7.98,Home,South,0,0,1,0,0,1,1,0,0,Yes,1
100010,52,Female,Married,Bachelor,Self-Employed,5.0,Mortgage,1.0,4012.0,48144.0,24442.0,0.1489,8.8,12,12,5,3,2,0.5893,32589.0,34538.0,60,10.65,Personal,South,0,1,1,1,0,3,0,0,0,Yes,1
100011,39,Male,Married,Diploma,Retired,8.5,Mortgage,3.0,4438.0,53256.0,17799.0,0.7324,8.6,8,6,3,2,1,0.2893,8579.0,40936.0,36,9.45,Education,Central,2,0,0,0,0,0,0,0,0,Yes,1
100012,39,Male,Single,Master,Self-Employed,6.2,Mortgage,1.0,15112.0,181344.0,96989.0,0.2977,18.9,12,6,7,2,3,0.2272,29746.0,128412.0,12,6.53,Business,West,2,0,0,0,0,0,0,0,0,Yes,0
100013,48,Female,Married,Doctorate,Self-Employed,17.2,Own,3.0,10033.0,120396.0,67906.0,0.1078,,9,10,4,2,3,0.337,18121.0,57070.0,12,5.0,Business,North,0,1,2,0,0,3,0,0,0,Yes,0
100014,22,Male,Single,High School,Self-Employed,7.0,Rent,2.0,11596.0,139152.0,34761.0,0.4868,16.7,11,5,6,2,0,0.1874,25314.0,55782.0,48,5.66,Business,East,1,0,0,0,0,0,0,0,0,Yes,0
100015,24,Male,Single,Master,Employed,18.2,Mortgage,2.0,,112464.0,22961.0,0.3006,6.5,7,11,5,4,2,0.316,16973.0,68403.0,72,5.97,Business,Central,1,0,0,0,0,0,0,0,1,Yes,0
100016,38,Male,Married,Master,Employed,0.7,Rent,4.0,10174.0,122088.0,65409.0,0.4531,17.3,9,3,2,1,1,0.4437,35983.0,102718.0,24,7.61,Business,East,2,0,0,0,0,0,1,0,0,Yes,1
100017,33,Female,Married,Master,Employed,15.1,Own,2.0,3517.0,42204.0,22183.0,0.5878,15.2,15,6,3,3,2,0.934,17361.0,30749.0,36,13.03,Debt Consolidation,West,3,0,0,1,0,1,0,0,0,Yes,0
100018,49,Female,Married,Diploma,Employed,6.4,Mortgage,0.0,4834.0,58008.0,26872.0,0.6565,2.8,9,10,6,3,1,0.2746,16382.0,38366.0,12,6.63,Education,West,2,0,1,0,0,1,0,0,0,Yes,1
100019,34,Female,Single,Bachelor,Employed,7.5,Mortgage,1.0,2890.0,34680.0,1000.0,0.2905,14.4,9,5,4,4,1,0.5375,8663.0,41622.0,72,11.73,Home,Central,2,0,0,0,0,0,0,0,1,Yes,0
100020,28,Female,Single,Bachelor,Employed,10.8,Own,0.0,4797.0,57564.0,37708.0,0.5013,9.5,8,7,2,1,0,0.5148,31866.0,34119.0,48,6.6,Debt Consolidation,West,0,0,0,0,0,0,0,0,1,Yes,0
100021,63,Male,Married,High School,Employed,10.9,Own,0.0,8580.0,102960.0,42422.0,0.6192,9.6,16,9,5,6,0,0.5493,61800.0,101281.0,60,10.72,Home,West,0,1,1,0,0,2,1,0,0,Yes,0
100022,42,Female,Married,Bachelor,Employed,14.8,Rent,2.0,,72036.0,35035.0,0.5049,19.5,9,6,6,0,1,0.5786,28142.0,52985.0,60,5.65,Education,East,1,0,0,0,0,0,0,0,0,Yes,0
100023,46,Female,Single,Master,Employed,8.1,Rent,2.0,12900.0,154800.0,92837.0,1.1033,15.9,11,7,2,4,1,0.3064,52398.0,35181.0,24,10.91,Auto,South,1,0,0,0,0,0,0,0,0,Yes,0
100024,28,Male,Divorced,High School,Employed,13.5,Own,1.0,2619.0,31428.0,12605.0,0.3048,6.6,10,6,7,2,0,0.4994,12233.0,4405.0,36,9.44,Auto,South,0,0,0,0,0,0,0,0,0,Yes,0
100025,38,Male,Married,Bachelor,Self-Employed,12.2,Own,0.0,7613.0,91356.0,43467.0,0.6305,13.3,6,4,6,3,2,0.3386,35683.0,93688.0,36,10.63,Business,West,0,0,1,0,0,1,0,0,0,Yes,1
100026,46,Male,Widowed,Doctorate,Unemployed,0.0,Mortgage,2.0,2443.0,29316.0,14374.0,0.0763,19.4,8,8,4,5,0,0.0928,2409.0,3825.0,60,9.59,Business,East,0,1,1,0,0,2,0,0,1,No,0
100027,31,Male,Single,Bachelor,Unemployed,2.2,Rent,1.0,5847.0,70164.0,45594.0,0.6577,13.7,8,8,6,3,1,0.5733,22684.0,92166.0,36,13.33,Business,West,0,1,0,0,1,1,0,0,0,No,0
100028,50,Female,Married,High School,Employed,5.4,Rent,1.0,8899.0,106788.0,68525.0,0.0779,11.5,4,12,6,2,4,0.6936,40534.0,96174.0,36,10.07,Debt Consolidation,East,1,0,0,0,0,0,0,0,0,Yes,0
100029,38,Male,Divorced,Diploma,Unemployed,17.0,Mortgage,1.0,4784.0,57408.0,20776.0,0.5307,6.5,11,6,9,3,1,0.6221,17723.0,60497.0,24,10.73,Home,West,1,0,1,0,0,1,0,0,0,No,0
100030,41,Male,Married,Master,Employed,1.5,Rent,1.0,7869.0,94428.0,41307.0,0.1378,19.5,6,6,4,3,2,0.2717,13721.0,25467.0,60,5.08,Personal,Central,2,0,0,0,0,0,0,0,0,Yes,0
100031,38,Female,Single,Master,Employed,8.3,Mortgage,0.0,,35364.0,26954.0,1.1873,7.1,8,9,8,2,1,0.6318,19404.0,26300.0,24,9.92,Personal,South,1,0,0,0,0,0,0,0,0,Yes,0
100032,67,Male,Single,Doctorate,Employed,9.2,Rent,2.0,1865.0,22380.0,10068.0,0.4972,11.6,11,7,5,4,2,0.8617,14581.0,37009.0,48,10.36,Home,Central,2,0,0,0,0,0,0,0,0,Yes,0
100033,45,Female,Single,Master,Employed,9.1,Mortgage,3.0,7900.0,94800.0,22937.0,0.3118,19.3,12,6,6,3,2,0.6804,21724.0,71588.0,60,10.78,Debt Consolidation,East,2,0,0,0,0,0,0,0,1,Yes,0
100034,32,Male,Married,Master,Employed,11.2,Rent,4.0,17088.0,205056.0,60226.0,0.1499,10.0,8,7,5,2,3,0.2507,35066.0,213127.0,36,6.76,Education,East,2,3,0,1,0,4,1,0,0,Yes,1
